Country_code,Segment,Sector,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
AT,Segment1,Sector1,01,6,0.1122,8223696,-6,-0.1122,8223696,1
AT,Segment1,Sector1,02,8,0.0918,64573220,-8,-0.0918,-64573220,1
AT,Segment1,Sector1,03,16,0.0918,82882182,-16,0.0918,82882182,1
AT,Segment1,Sector1,04,17,0.0969,94046233,17,-0.0969,-94046233,1
AT,Segment1,Sector1,05,8,0.0918,3760493,8,0.0918,3760493,1
AT,Segment1,Sector1,06,10,0.0969,11411245,-10,-0.0969,11411245,1
AT,Segment1,Sector1,07,4,0.0969,15676964,-4,-0.0969,15676964,1
BE,Segment2,Sector1,01,22,0.1122,90069337,-22,-0.1122,-90069337,1
BE,Segment2,Sector1,02,19,0.0918,36621745,19,0.0918,-36621745,1
BE,Segment2,Sector1,03,28,0.0918,11703682,28,-0.0918,-11703682,1
BE,Segment2,Sector1,04,28,0.0969,52743273,-28,-0.0969,52743273,1
BE,Segment2,Sector1,05,23,0.0918,29275231,23,0.0918,29275231,1
BE,Segment2,Sector1,06,29,0.0969,96342143,-29,0.0969,-96342143,1
BE,Segment2,Sector1,07,17,0.0969,52659612,17,-0.0969,52659612,1
BG,Segment3,Sector1,01,20,0.1122,29618522,20,-0.1122,-29618522,1
BG,Segment3,Sector1,02,24,0.0918,38129021,-24,0.0918,38129021,1
BG,Segment3,Sector1,03,39,0.0918,45573480,-39,-0.0918,45573480,1
BG,Segment3,Sector1,04,22,0.0969,8888313,22,0.0969,8888313,1
BG,Segment3,Sector1,05,29,0.0918,87876023,29,-0.0918,87876023,1
BG,Segment3,Sector1,06,49,0.0969,84136617,49,-0.0969,-84136617,1
BG,Segment3,Sector1,07,13,0.0969,48651201,13,0.0969,48651201,1
CY,Segment3,Sector1,01,3,0.1122,110597064,-3,0.1122,-110597064,1
CY,Segment3,Sector1,02,8,0.0918,83930549,8,0.0918,-83930549,1
CY,Segment3,Sector1,03,9,0.0918,21827161,9,-0.0918,-21827161,1
CY,Segment3,Sector1,04,10,0.0969,61826362,10,-0.0969,61826362,1
CY,Segment3,Sector1,05,11,0.0918,18006151,11,-0.0918,18006151,1
CY,Segment3,Sector1,06,5,0.0969,54234990,-5,0.0969,-54234990,1
CY,Segment3,Sector1,07,1,0.0969,58166563,1,-0.0969,58166563,1
CZ,Segment3,Sector1,01,12,0.1122,99514491,-12,0.1122,99514491,1
CZ,Segment3,Sector1,02,25,0.0918,89879689,-25,-0.0918,-89879689,1
CZ,Segment3,Sector1,03,24,0.0918,29768495,24,0.0918,-29768495,1
CZ,Segment3,Sector1,04,33,0.0969,17094423,-33,-0.0969,-17094423,1
CZ,Segment3,Sector1,05,22,0.0918,48762291,-22,-0.0918,48762291,1
CZ,Segment3,Sector1,06,37,0.0969,31424587,-37,-0.0969,-31424587,1
CZ,Segment3,Sector1,07,5,0.0969,66188589,5,-0.0969,66188589,1
DE,Segment3,Sector1,01,53,0.1122,109598285,53,0.1122,-109598285,1
DE,Segment3,Sector1,02,78,0.0918,40780822,-78,0.0918,-40780822,1
DE,Segment3,Sector1,03,40,0.0918,39411086,40,0.0918,39411086,1
DE,Segment3,Sector1,04,20,0.0969,1870248,20,-0.0969,-1870248,1
DE,Segment3,Sector1,05,34,0.0918,58839441,34,0.0918,-58839441,1
DE,Segment3,Sector1,06,37,0.0969,89318765,-37,-0.0969,89318765,1
DE,Segment3,Sector1,07,30,0.0969,94744656,30,-0.0969,-94744656,1
DK,Segment3,Sector1,01,38,0.1122,79292985,38,0.1122,79292985,1
DK,Segment3,Sector1,02,23,0.0918,7925581,23,-0.0918,7925581,1
DK,Segment3,Sector1,03,24,0.0918,8573022,24,0.0918,-8573022,1
DK,Segment3,Sector1,04,32,0.0969,29278971,32,0.0969,29278971,1
DK,Segment3,Sector1,05,27,0.0918,72739705,-27,-0.0918,72739705,1
DK,Segment3,Sector1,06,24,0.0969,5827585,-24,-0.0969,5827585,1
DK,Segment3,Sector1,07,34,0.0969,71142099,34,-0.0969,71142099,1
EE,Segment3,Sector1,01,31,0.1122,18204370,-31,-0.1122,18204370,1
EE,Segment3,Sector1,02,27,0.0918,49032601,-27,-0.0918,-49032601,1
EE,Segment3,Sector1,03,25,0.0918,46840614,-25,-0.0918,46840614,1
EE,Segment3,Sector1,04,21,0.0969,51686320,-21,-0.0969,-51686320,1
EE,Segment3,Sector1,05,21,0.0918,25710269,21,0.0918,25710269,1
EE,Segment3,Sector1,06,28,0.0969,71440987,-28,0.0969,71440987,1
EE,Segment3,Sector1,07,16,0.0969,29981461,-16,0.0969,-29981461,1
EL,Segment3,Sector1,01,2,0.1122,52425713,2,-0.1122,52425713,1
EL,Segment3,Sector1,02,11,0.0918,77999671,11,-0.0918,77999671,1
EL,Segment3,Sector1,03,11,0.0918,42007607,11,0.0918,-42007607,1
EL,Segment3,Sector1,04,7,0.0969,13438407,7,0.0969,13438407,1
EL,Segment3,Sector1,05,7,0.0918,27490389,7,-0.0918,-27490389,1
EL,Segment3,Sector1,06,7,0.0969,65865320,-7,0.0969,65865320,1
EL,Segment3,Sector1,07,1,0.0969,14950080,1,0.0969,-14950080,1
ES,Segment9,Sector1,01,16,0.1122,104438895,-16,0.1122,-104438895,1
ES,Segment9,Sector1,02,23,0.0918,65804815,23,-0.0918,-65804815,1
ES,Segment9,Sector1,03,20,0.0918,60990764,-20,-0.0918,-60990764,1
ES,Segment9,Sector1,04,27,0.0969,44554752,27,0.0969,44554752,1
ES,Segment9,Sector1,05,14,0.0918,89486323,14,-0.0918,-89486323,1
ES,Segment9,Sector1,06,17,0.0969,56424422,17,0.0969,56424422,1
ES,Segment9,Sector1,07,14,0.0969,79829605,-14,-0.0969,-79829605,1
FI,Segment3,Sector1,01,29,0.1122,22330226,-29,-0.1122,22330226,1
FI,Segment3,Sector1,02,14,0.0918,70725462,-14,-0.0918,-70725462,1
FI,Segment3,Sector1,03,27,0.0918,56504888,27,-0.0918,-56504888,1
FI,Segment3,Sector1,04,33,0.0969,95522893,-33,0.0969,-95522893,1
FI,Segment3,Sector1,05,28,0.0918,82329417,-28,0.0918,82329417,1
FI,Segment3,Sector1,06,26,0.0969,53595430,-26,0.0969,53595430,1
FI,Segment3,Sector1,07,17,0.0969,2439621,17,0.0969,2439621,1
FR,Segment3,Sector1,01,42,0.1122,75107301,42,0.1122,-75107301,1
FR,Segment3,Sector1,02,32,0.0918,21113778,-32,0.0918,-21113778,1
FR,Segment3,Sector1,03,38,0.0918,27640637,-38,0.0918,-27640637,1
FR,Segment3,Sector1,04,44,0.0969,12007672,44,0.0969,-12007672,1
FR,Segment3,Sector1,05,32,0.0918,64121053,32,-0.0918,-64121053,1
FR,Segment3,Sector1,06,38,0.0969,96491069,38,0.0969,-96491069,1
FR,Segment3,Sector1,07,21,0.0969,31723999,21,-0.0969,-31723999,1
HR,Segment3,Sector1,01,15,0.1122,109201357,-15,0.1122,109201357,1
HR,Segment3,Sector1,02,25,0.0918,23677071,25,-0.0918,23677071,1
HR,Segment3,Sector1,03,16,0.0918,18103164,16,0.0918,18103164,1
HR,Segment3,Sector1,04,17,0.0969,25228065,-17,0.0969,25228065,1
HR,Segment3,Sector1,05,14,0.0918,58225052,14,0.0918,58225052,1
HR,Segment3,Sector1,06,30,0.0969,92530847,30,-0.0969,-92530847,1
HR,Segment3,Sector1,07,9,0.0969,52194129,-9,0.0969,-52194129,1
HU,Segment3,Sector1,01,10,0.1122,46365173,10,-0.1122,46365173,1
HU,Segment3,Sector1,02,12,0.0918,67414200,-12,-0.0918,-67414200,1
HU,Segment3,Sector1,03,18,0.0918,71272993,-18,-0.0918,-71272993,1
HU,Segment3,Sector1,04,13,0.0969,22320295,-13,-0.0969,-22320295,1
HU,Segment3,Sector1,05,24,0.0918,80654256,24,0.0918,80654256,1
HU,Segment3,Sector1,06,22,0.0969,41837742,-22,0.0969,-41837742,1
HU,Segment3,Sector1,07,9,0.0969,93481879,9,-0.0969,-93481879,1
IE,Segment4,Sector1,01,29,0.1122,43007202,29,-0.1122,43007202,1
